dataset,model,dim,exp,acc
adult,w2v,200,7,0.8477482088024565
adult,Glove,200,7,0.8441658137154555
adult,w2v,200,7,0.845957011258956
adult,Glove,200,7,0.8446775844421699
adult,w2v,200,7,0.8436140261069874
adult,Glove,200,7,0.8418223701049399
adult,w2v,200,7,0.8382390581008446
adult,Glove,200,7,0.8415664192475045
adult,w2v,200,7,0.8456616329664705
adult,Glove,200,7,0.8361914512413616
adult,w2v,200,7,0.840542615817763
adult,Glove,200,7,0.8343997952393141
adult,w2v,200,7,0.8454056821090351
adult,Glove,200,7,0.8487330432556949
adult,w2v,200,7,0.8423342718198106
adult,Glove,200,7,0.8285129255183005
adult,w2v,200,7,0.8505246992577425
adult,Glove,200,7,0.8456616329664705
adult,w2v,200,8,0.8462128966223132
adult,Glove,200,8,0.8405834186284544
adult,w2v,200,8,0.8393039918116684
adult,Glove,200,8,0.8362333674513818
adult,w2v,200,8,0.8533776867963152
adult,Glove,200,8,0.8513306038894575
adult,w2v,200,8,0.8448937803941643
adult,Glove,200,8,0.8438699769644228
adult,w2v,200,8,0.8454056821090351
adult,Glove,200,8,0.8454056821090351
adult,w2v,200,8,0.8502687484003072
adult,Glove,200,8,0.8431021243921167
adult,w2v,200,8,0.8492449449705657
adult,Glove,200,8,0.8343997952393141
adult,w2v,200,8,0.8512925518300486
adult,Glove,200,8,0.8336319426670079
adult,w2v,200,8,0.8487330432556949
adult,Glove,200,8,0.8400307141028922
adult,w2v,200,8,0.8423342718198106
adult,Glove,200,8,0.8415664192475045
adult,w2v,200,9,0.8421187308085978
adult,Glove,200,9,0.8370010235414534
adult,w2v,200,9,0.849539406345957
adult,Glove,200,9,0.8451893551688844
adult,w2v,200,9,0.845957011258956
adult,Glove,200,9,0.824718526100307
adult,w2v,200,9,0.847453288968518
adult,Glove,200,9,0.8395188123880215
adult,w2v,200,9,0.8431021243921167
adult,Glove,200,9,0.8338878935244433
adult,w2v,200,9,0.8456616329664705
adult,Glove,200,9,0.8459175838239058
adult,w2v,200,9,0.8484770923982595
adult,Glove,200,9,0.837727156385974
adult,w2v,200,9,0.8512925518300486
adult,Glove,200,9,0.840542615817763
adult,w2v,200,9,0.8459175838239058
adult,Glove,200,9,0.8195546455080625
adult,w2v,200,9,0.8448937803941643
adult,Glove,200,9,0.836447402098797
chessBig,w2v,50,0,0.4908685968819599
chessBig,Glove,50,0,0.6285077951002227
chessBig,w2v,50,0,0.4935412026726058
chessBig,Glove,50,0,0.6369710467706013
chessBig,w2v,50,0,0.4957683741648107
chessBig,Glove,50,0,0.6285077951002227
chessBig,w2v,50,0,0.5042316258351893
chessBig,Glove,50,0,0.623162583518931
chessBig,w2v,50,0,0.4977718360071301
chessBig,Glove,50,0,0.6350267379679144
chessBig,w2v,50,0,0.4879679144385027
chessBig,Glove,50,0,0.6274509803921569
chessBig,w2v,50,0,0.46524064171123
chessBig,Glove,50,0,0.6078431372549019
chessBig,w2v,50,0,0.483065953654189
chessBig,Glove,50,0,0.6185383244206774
chessBig,w2v,50,0,0.4942067736185383
chessBig,Glove,50,0,0.6439393939393939
chessBig,w2v,50,0,0.49153297682709446
chessBig,Glove,50,0,0.6274509803921569
chessBig,w2v,50,1,0.5077951002227171
chessBig,Glove,50,1,0.5420935412026726
